#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
354,Morena,1,GEN,Madhya Pradesh [2000 Onwards],Anoop Mishra,Bharatiya Janta Party,"17,02,492","8,54,279",50.2 %,"1,32,981",15.60%
355,Mumbai North,26,GEN,Maharashtra,Gopal Chinayya Shetty,Bharatiya Janta Party,"17,83,870","9,46,562",53.1 %,"4,46,582",47.20%
356,Mumbai North Central,29,GEN,Maharashtra,Poonam Mahajan Alias Poonam Vajendla Rao,Bharatiya Janta Party,"17,38,894","8,45,292",48.6 %,"1,86,771",22.10%
357,Mumbai North East,28,GEN,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,"16,68,357","8,61,761",51.7 %,"3,17,122",36.80%
358,Mumbai North West,27,GEN,Maharashtra,Gajanan Chandrakant Kirtikar,Shiv Sena,"17,75,428","8,95,517",50.4 %,"1,83,028",20.40%
359,Mumbai South,31,GEN,Maharashtra,Arvind Sawant,Shiv Sena,"14,85,846","7,80,715",52.5 %,"1,28,148",16.40%
360,Mumbai South Central,30,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,"14,47,885","7,69,060",53.1 %,"1,38,342",18.00%
361,Munger,28,GEN,Bihar [2000 Onwards],Veena Devi,Lok Jan Shakti Party,"16,96,546","9,14,350",53.9 %,"1,09,084",11.90%
362,Murshidabad,11,GEN,West Bengal,Badaruddoza Khan,Communist Party Of India (MARXIST),"15,12,098","12,87,763",85.2 %,"18,453",1.40%
363,Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janta Party,"15,88,483","11,07,434",69.7 %,"4,01,150",36.20%
364,Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,"15,51,363","9,48,887",61.2 %,"2,22,422",23.40%
365,Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,"17,23,134","11,59,594",67.3 %,"31,608",2.70%
366,Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Biju Janata Dal,"12,97,210","10,22,172",78.8 %,"2,042",0.20%
367,Nagaland,1,ST,Nagaland,Neiphiu Rio,Naga Peoples Front,"11,82,948","10,38,910",87.8 %,"4,00,225",38.50%
368,Nagapattinam,29,SC,Tamil Nadu,Gopal. Dr. K,All India Anna Dravida Munnetra Kazhagam,"12,10,626","9,42,202",77.8 %,"1,06,079",11.30%
369,Nagarkurnool,12,SC,Telangana,Yellaiah Nandi,Indian National Congress,"14,77,338","11,08,968",75.1 %,"16,676",1.50%
370,Nagaur,14,GEN,Rajasthan,C R Choudhary,Bharatiya Janta Party,"16,78,662","10,04,019",59.8 %,"75,218",7.50%
371,Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashwant Singh,Bharatiya Janta Party,"14,93,411","9,42,196",63.1 %,"92,390",9.80%
372,Nagpur,10,GEN,Maharashtra,Gadkari Nitin Jairam,Bharatiya Janta Party,"19,00,787","10,85,058",57.1 %,"2,84,828",26.30%
373,Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janta Party,"16,10,810","11,01,435",68.4 %,"2,84,717",25.80%
374,Nalanda,29,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),"19,51,967","9,21,761",47.2 %,"9,627",1.00%
375,Nalgonda,13,GEN,Telangana,Gutha Sukhender Reddy,Indian National Congress,"14,95,580","11,89,399",79.5 %,"1,93,156",16.20%
376,Namakkal,16,GEN,Tamil Nadu,Sundaram P.R,All India Anna Dravida Munnetra Kazhagam,"13,29,552","10,58,755",79.6 %,"2,94,374",27.80%
377,Nanded,16,GEN,Maharashtra,Ashok Shankarrao Chavan,Indian National Congress,"16,87,057","10,13,350",60.1 %,"81,455",8.00%
378,Nandurbar,1,ST,Maharashtra,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,"16,72,715","11,16,676",66.8 %,"1,06,905",9.60%
379,Nandyal,34,GEN,Andhra Pradesh [2014 Onwards],S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,"15,77,128","12,04,956",76.4 %,"1,05,766",8.80%
380,Narasaraopet,31,GEN,Andhra Pradesh [2014 Onwards],Sambasiva Rao Rayapati,Telugu Desam,"15,14,861","12,82,058",84.6 %,"35,280",2.80%
381,Narsapuram,26,GEN,Andhra Pradesh [2014 Onwards],Gokaraju Ganga Raju,Bharatiya Janta Party,"13,25,143","10,88,951",82.2 %,"85,351",7.80%
382,Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,"15,93,237","9,37,405",58.8 %,"1,87,336",20.00%
383,Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,"17,64,622","11,60,747",65.8 %,"5,58,116",48.10%
384,Nawada,39,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,"16,75,789","8,84,441",52.8 %,"1,40,157",15.80%
385,Nellore,39,GEN,Andhra Pradesh [2014 Onwards],Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,"16,06,140","11,87,648",73.9 %,"13,478",1.10%
386,New Delhi,4,GEN,Delhi [1977 Onwards],Meenakashi Lekhi,Bharatiya Janta Party,"14,90,147","9,69,812",65.1 %,"1,62,708",16.80%
387,Nilgiris,19,SC,Tamil Nadu,"Gopalakrishnan, C.",All India Anna Dravida Munnetra Kazhagam,"12,69,163","9,33,076",73.5 %,"1,04,940",11.20%
388,Nizamabad,4,GEN,Telangana,Kalvakuntla Kavitha,Telangana Rashtra Samithi,"14,96,193","10,33,924",69.1 %,"1,67,184",16.20%
389,North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,"19,57,707","13,17,338",67.3 %,"1,44,084",10.90%
390,North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,"5,15,441","4,06,631",78.9 %,"1,05,599",26.00%
391,North West Delhi,5,SC,Delhi [1977 Onwards],Udit Raj,Bharatiya Janta Party,"21,94,425","13,56,036",61.8 %,"1,06,802",7.90%
392,Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,"15,23,881","12,30,074",80.7 %,"1,43,559",11.70%
393,Ongole,33,GEN,Andhra Pradesh [2014 Onwards],Y.V.Subba Reddy,Yuvajana Sramika Rythu Congress Party,"14,70,483","12,08,225",82.2 %,"15,658",1.30%
394,Osmanabad,40,GEN,Maharashtra,Gaikwad Ravindra Vishwanath,Shiv Sena,"17,26,793","11,18,151",64.8 %,"2,34,325",21.00%
395,Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,"9,18,966","7,71,766",84.0 %,"15,637",2.00%
396,Palakkad,8,GEN,Kerala,M B Rajesh,Communist Party Of India (MARXIST),"12,08,758","9,10,322",75.3 %,"1,05,300",11.60%
397,Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,"16,45,957","9,77,323",59.4 %,"2,63,942",27.00%
398,Palghar,22,ST,Maharashtra,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,"15,78,077","9,92,618",62.9 %,"2,39,520",24.10%
399,Pali,15,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,"18,93,030","10,95,587",57.9 %,"3,99,039",36.40%
400,Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,"15,76,667","9,33,461",59.2 %,"1,70,596",18.30%
401,Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,"18,03,792","11,62,233",64.4 %,"1,27,155",10.90%
402,Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,"14,13,073","8,54,800",60.5 %,"1,10,254",12.90%
403,Pataliputra,31,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,"17,36,074","9,78,649",56.4 %,"40,322",4.10%
404,Patan,3,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,"16,28,641","9,55,799",58.7 %,"1,38,719",14.50%
405,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,"13,23,906","8,69,452",65.7 %,"56,191",6.50%
406,Patiala,13,GEN,Punjab,Dr. Dharam Vira Gandhi,Aam Aadmi Party,"15,80,273","11,20,933",70.9 %,"20,942",1.90%
407,Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughana Sinha,Bharatiya Janta Party,"19,46,249","8,82,262",45.3 %,"2,65,805",30.10%
408,Peddapalli,2,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,"14,25,361","10,22,184",71.7 %,"2,91,158",28.50%
409,Perambalur,25,GEN,Tamil Nadu,"Marutharajaa, R.P.",All India Anna Dravida Munnetra Kazhagam,"12,85,434","10,30,826",80.2 %,"2,13,048",20.70%
410,Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Keshav Prasad Maurya,Bharatiya Janta Party,"19,13,274","9,60,341",50.2 %,"3,08,308",32.10%
411,Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Maneka Sanjay Gandhi,Bharatiya Janta Party,"16,71,151","10,50,547",62.9 %,"3,07,052",29.20%
412,Pollachi,21,GEN,Tamil Nadu,Mahendran.C,All India Anna Dravida Munnetra Kazhagam,"13,81,505","10,12,667",73.3 %,"1,40,974",13.90%
413,Pondicherry,1,GEN,Pondicherry,R. Radhakrishnan,All India N.R. Congress,"9,01,357","7,40,017",82.1 %,"60,854",8.20%
414,Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,"11,80,789","8,71,592",73.8 %,"25,410",2.90%
415,Porbandar,11,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,"15,39,223","8,09,433",52.6 %,"2,67,971",33.10%
416,Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Kuwar Harivansh Singh,Apna Dal,"17,16,625","8,94,456",52.1 %,"1,68,222",18.80%
417,Pune,34,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,"18,35,836","9,93,274",54.1 %,"3,15,769",31.80%
418,Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,"14,04,581","10,39,389",74.0 %,"2,63,361",25.30%
419,Purnia,12,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),"15,82,967","10,17,732",64.3 %,"1,16,669",11.50%
420,Purulia,35,GEN,West Bengal,Dr. Mriganka Mahato,All India Trinamool Congress,"14,71,933","12,04,675",81.8 %,"1,53,877",12.80%
421,Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,"14,52,963","8,22,671",56.6 %,"1,92,163",23.40%
422,Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,"15,94,954","8,25,136",51.7 %,"3,52,713",42.70%
423,Raichur,6,ST,Karnataka,B.V.Nayak,Indian National Congress,"16,61,606","9,68,889",58.3 %,"1,499",0.20%
424,Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,"15,32,781","9,87,766",64.4 %,"2,110",0.20%
425,Raiganj,5,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),"13,87,526","11,08,193",79.9 %,"1,634",0.10%
426,Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,"16,05,824","12,46,186",77.6 %,"2,16,750",17.40%
427,Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,"19,04,230","12,50,845",65.7 %,"1,71,646",13.70%
428,Rajahmundry,25,GEN,Andhra Pradesh [2014 Onwards],Murali Mohan Maganti,Telugu Desam,"14,21,288","11,54,381",81.2 %,"1,67,434",14.50%
429,Rajampet,41,GEN,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,"14,87,498","11,58,317",77.9 %,"1,74,762",15.10%
430,Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,"15,78,748","10,10,724",64.0 %,"2,28,737",22.60%
431,Rajkot,10,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,"16,55,717","10,57,069",63.8 %,"2,46,428",23.30%
432,Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,"13,53,172","9,51,563",70.3 %,"41,337",4.30%
433,Rajnandgaon,6,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,"15,88,095","11,78,296",74.2 %,"2,35,911",20.00%
434,Rajsamand,22,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,"16,99,401","9,82,119",57.8 %,"3,95,705",40.30%
435,Ramanathapuram,35,GEN,Tamil Nadu,Anwhar Raajhaa.A,All India Anna Dravida Munnetra Kazhagam,"14,55,891","10,01,048",68.8 %,"1,19,324",11.90%
436,Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Dr. Nepal Singh,Bharatiya Janta Party,"16,16,984","9,56,389",59.2 %,"23,435",2.50%
437,Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,"16,77,245","10,50,316",62.6 %,"1,75,791",16.70%
438,Ranaghat,13,SC,West Bengal,Tapas Mandal,All India Trinamool Congress,"16,02,849","13,53,196",84.4 %,"2,01,767",14.90%
439,Ranchi,8,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,"16,48,464","10,49,783",63.7 %,"1,99,303",19.00%
440,Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Dileepsingh Bhuria,Bharatiya Janta Party,"17,02,648","10,82,681",63.6 %,"1,08,447",10.00%
441,Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Vinayak Bhaurao Raut,Shiv Sena,"13,67,361","8,96,256",65.6 %,"1,50,051",16.70%
442,Raver,4,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,"15,93,370","10,09,213",63.3 %,"3,18,068",31.50%
443,Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,"15,44,719","8,30,002",53.7 %,"1,68,726",20.30%
444,Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Bharatiya Janta Party,"16,39,561","8,85,873",54.0 %,"1,90,486",21.50%
445,Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,"15,67,504","10,44,331",66.6 %,"1,70,627",16.30%
446,Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,"16,15,840","10,94,002",67.7 %,"84,455",7.70%
447,Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Laxmi Narayan Yadav,Bharatiya Janta Party,"15,20,184","8,91,929",58.7 %,"1,20,737",13.50%
448,Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Raghav Lakhanpal,Bharatiya Janta Party,"16,08,833","11,94,308",74.2 %,"65,090",5.50%
449,Salem,15,GEN,Tamil Nadu,Pannerselvam.V,All India Anna Dravida Munnetra Kazhagam,"14,98,350","11,50,296",76.8 %,"2,67,610",23.30%
450,Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ravindra Kushawaha,Bharatiya Janta Party,"16,61,737","8,54,749",51.4 %,"2,32,342",27.20%
451,Samastipur,23,SC,Bihar [2000 Onwards],Ram Chandra Paswan,Lok Jan Shakti Party,"15,03,005","8,63,199",57.4 %,"6,872",0.80%
452,Sambalpur,3,GEN,Orissa,Nagendra Kumar Pradhan,Biju Janata Dal,"12,97,098","9,84,309",75.9 %,"30,576",3.10%
453,Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Satyapal Singh,Bharatiya Janta Party,"16,93,245","10,57,002",62.4 %,"5,174",0.50%
454,Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,"16,49,107","10,46,659",63.5 %,"2,39,292",22.90%
455,Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,"14,24,743","10,99,467",77.2 %,"2,11,721",19.30%
456,Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Sharad Tripathi,Bharatiya Janta Party,"19,04,327","10,11,649",53.1 %,"97,978",9.70%
457,Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,"15,38,744","8,63,254",56.1 %,"40,948",4.70%
458,Sarguja,1,ST,Chhattisgarh,Kamalbhan Singh Marabi,Bharatiya Janta Party,"15,23,072","11,87,321",78.0 %,"1,47,236",12.40%
459,Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,"16,07,747","8,46,788",52.7 %,"63,327",7.50%
460,Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,"17,19,998","9,76,681",56.8 %,"3,66,594",37.50%
461,Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,"14,58,084","9,13,444",62.7 %,"8,688",1.00%
462,Secundrabad,8,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,"18,93,647","10,03,769",53.0 %,"2,54,735",25.40%
463,Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,"15,61,321","9,68,518",62.0 %,"2,41,301",24.90%
464,Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Krishna Raj,Bharatiya Janta Party,"19,79,294","11,29,841",57.1 %,"2,35,529",20.80%
465,Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,"14,89,724","8,42,894",56.6 %,"1,36,239",16.20%
466,Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,"9,80,740","6,19,987",63.2 %,"40,379",6.50%
467,Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,"11,53,363","7,37,757",64.0 %,"84,187",11.40%
468,Shimoga,14,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,"15,62,241","11,29,008",72.3 %,"3,63,305",32.20%
469,Shirdi,38,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,"14,59,712","9,32,645",63.9 %,"1,99,922",21.40%
470,Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatrey,Shiv Sena,"18,24,112","10,89,506",59.7 %,"3,01,814",27.70%
471,Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Daddan Mishra,Bharatiya Janta Party,"17,88,080","9,79,638",54.8 %,"85,913",8.80%
472,Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,"17,36,050","9,89,396",57.0 %,"1,08,046",10.90%
473,Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,"17,70,424","10,65,750",60.2 %,"2,39,196",22.40%
474,Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,"3,70,611","3,08,967",83.4 %,"41,742",13.50%
475,Silchar,2,GEN,Assam,Sushmita Dev,Indian National Congress,"10,60,175","7,99,830",75.4 %,"35,241",4.40%
476,Singhbhum,10,ST,Jharkhand,Laxman Giluwa,Bharatiya Janta Party,"11,52,570","7,95,286",69.0 %,"87,524",11.00%
477,Sirsa,3,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,"16,60,557","12,79,105",77.0 %,"1,15,736",9.00%
478,Sitamarhi,5,GEN,Bihar [2000 Onwards],Ram Kumar Sharma,Rashtriya Lok Samta Party,"15,74,914","9,00,588",57.2 %,"1,47,965",16.40%
479,Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,"15,50,263","10,26,972",66.3 %,"51,027",5.00%
480,Sivaganga,31,GEN,Tamil Nadu,Senthilnathan Pr,All India Anna Dravida Munnetra Kazhagam,"14,12,373","10,27,036",72.7 %,"2,29,385",22.30%
481,Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Bharatiya Janta Party,"15,63,860","8,84,021",56.5 %,"1,13,847",12.90%
482,Solapur,42,SC,Maharashtra,Sharad Bansode,Bharatiya Janta Party,"17,02,755","9,51,201",55.9 %,"1,49,674",15.70%
483,Sonipat,6,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,"14,17,188","9,85,637",69.6 %,"77,414",7.90%
484,South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Bidhuri,Bharatiya Janta Party,"17,52,741","11,02,410",62.9 %,"1,07,000",9.70%
485,South Goa,2,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,"5,45,336","4,10,369",75.3 %,"32,330",7.90%
486,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,"16,24,038","12,90,433",79.5 %,"1,52,526",11.80%
487,Srikakulam,19,GEN,Andhra Pradesh [2014 Onwards],Rammohan Naidu Kinjarapu,Telugu Desam,"14,13,989","10,51,446",74.4 %,"1,27,572",12.10%
488,Srinagar,2,GEN,Jammu & Kashmir,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,"12,05,233","3,12,212",25.9 %,"42,280",13.50%
489,Sriperumbudur,5,GEN,Tamil Nadu,"Ramachandran, K.N. Thiru",All India Anna Dravida Munnetra Kazhagam,"19,46,503","12,86,647",66.1 %,"1,02,646",8.00%
490,Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,"17,03,698","9,64,981",56.6 %,"1,78,902",18.50%
491,Sundargarh,2,ST,Orissa,Jual @ Juel Oram,Bharatiya Janta Party,"14,10,532","10,10,711",71.7 %,"18,829",1.90%
492,Supaul,8,GEN,Bihar [2000 Onwards],Ranjeet Ranjan,Indian National Congress,"15,25,592","9,70,528",63.6 %,"59,672",6.10%
493,Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,"14,84,068","9,47,922",63.9 %,"5,33,190",56.20%
494,Surendranagar,9,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,"16,56,657","9,44,677",57.0 %,"2,02,907",21.50%
495,Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,"15,27,273","13,37,684",87.6 %,"2,46,481",18.40%
496,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,"13,52,845","7,76,214",57.4 %,"1,92,503",24.80%
497,Tenkasi,37,SC,Tamil Nadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,"13,82,081","10,17,938",73.7 %,"1,61,774",15.90%
498,Tezpur,9,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,"12,59,568","9,80,688",77.9 %,"86,020",8.80%
499,Thane,25,GEN,Maharashtra,Vichare Rajan Baburao,Shiv Sena,"20,73,442","10,54,189",50.8 %,"2,81,299",26.70%
500,Thanjavur,30,GEN,Tamil Nadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,"13,40,050","10,12,258",75.5 %,"1,44,119",14.20%
501,Theni,33,GEN,Tamil Nadu,"Parthipan, R.",All India Anna Dravida Munnetra Kazhagam,"14,41,302","10,75,583",74.6 %,"3,14,532",29.20%
502,Thiruvallur,1,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,"17,02,833","12,54,440",73.7 %,"3,23,430",25.80%
503,Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,"12,72,748","8,73,439",68.6 %,"15,470",1.80%
504,Thoothukkudi,36,GEN,Tamil Nadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,"13,10,597","9,16,778",70.0 %,"1,24,002",13.50%
505,Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,"12,75,288","9,20,505",72.2 %,"38,227",4.20%
506,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,"15,29,003","7,66,321",50.1 %,"2,08,731",27.20%
507,Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,"13,87,140","9,88,250",71.2 %,"1,50,476",15.20%
508,Tirunelveli,38,GEN,Tamil Nadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,"14,20,435","9,62,330",67.8 %,"1,26,099",13.10%
509,Tirupati,40,SC,Andhra Pradesh [2014 Onwards],Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,"15,74,544","12,13,064",77.0 %,"37,425",3.10%
510,Tiruppur,18,GEN,Tamil Nadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,"13,75,589","10,50,190",76.3 %,"1,79,315",17.10%
511,Tiruvannamalai,11,GEN,Tamil Nadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,"13,52,966","10,67,447",78.9 %,"1,68,606",15.80%
512,Tonk-Sawai Madhopur,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,"17,10,775","10,43,040",61.0 %,"1,35,311",13.00%
513,Tripura East,2,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),"11,40,269","9,51,110",83.4 %,"4,84,358",50.90%
514,Tripura West,1,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),"12,48,550","10,72,749",85.9 %,"5,03,486",46.90%
515,Tumkur,19,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,"15,18,518","11,01,484",72.5 %,"74,041",6.70%
516,Tura,2,ST,Meghalaya,Purno Agitok Sangma,National People's Party,"5,86,501","4,58,071",78.1 %,"39,716",8.70%
517,Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,"18,17,940","11,93,202",65.6 %,"2,36,762",19.80%
518,Udhampur,5,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,"14,90,244","10,41,758",69.9 %,"60,976",5.90%
519,Udupi Chikmagalur,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,"13,87,295","10,34,108",74.5 %,"1,81,643",17.60%
520,Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"14,28,445","8,58,920",60.1 %,"60,469",7.00%
521,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Prof. Chintamani Malviya,Bharatiya Janta Party,"15,25,481","10,16,405",66.6 %,"3,09,663",30.50%
522,Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,"14,48,632","11,86,027",81.9 %,"2,01,222",17.00%
523,Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,"21,64,392","12,01,603",55.5 %,"3,10,173",25.80%
524,Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,"14,50,599","10,01,038",69.0 %,"1,40,700",14.10%
525,Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,"11,82,504","9,59,342",81.1 %,"3,306",0.30%
526,Vadodara,20,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,"16,38,321","11,61,577",70.9 %,"5,70,128",49.10%
527,Vaishali,16,GEN,Bihar [2000 Onwards],Rama Kishore Singh,Lok Jan Shakti Party,"15,87,202","9,25,937",58.3 %,"99,267",10.70%
528,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Satish Chandra Dubey,Bharatiya Janta Party,"14,56,576","9,00,114",61.8 %,"1,17,793",13.10%
